2026-03-20 22:18:39 | INFO     | analysis.profitability | Profitability: NetProfit=3,762,703  GPM=26.23%
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | analysis.discounts | Discounts: 2.32% of gross revenue
2026-03-20 22:18:39 | INFO     | analysis.inventory | Inventory: turnover=0.86x  DIO=425.7d
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | analysis.expenses | Expenses: OpEx%=8.87
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=22,192,550  NetRevenue=21,678,092
2026-03-20 22:18:39 | INFO     | analysis.monthly_growth | Semiannual growth computed.
2026-03-20 22:18:39 | INFO     | analysis.breakeven | Break-even: BEU=668  MoS=91.95%
2026-03-20 22:18:39 | INFO     | analysis.cashflow | Semiannual cashflow: NetCashMovement=1,102,777
2026-03-20 22:18:39 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | analysis.profitability | Profitability: NetProfit=-8,394,886  GPM=-18.99%
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | analysis.expenses | Expenses: OpEx%=7.79
2026-03-20 22:18:43 | INFO     | analysis.breakeven | Break-even: BEU=1,047  MoS=91.11%
2026-03-20 22:18:43 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=32,392,401  NetRevenue=31,340,970
2026-03-20 22:18:43 | INFO     | analysis.discounts | Discounts: 3.25% of gross revenue
2026-03-20 22:18:43 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:18:43 | INFO     | analysis.inventory | Inventory: turnover=5.67x  DIO=64.3d
2026-03-20 22:18:43 | INFO     | analysis.monthly_growth | Semiannual growth computed.
2026-03-20 22:18:43 | INFO     | analysis.cashflow | Semiannual cashflow: NetCashMovement=22,325,083
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | analysis.profitability | Profitability: NetProfit=5,573,644  GPM=18.75%
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | analysis.breakeven | Break-even: BEU=1,586  MoS=92.10%
2026-03-20 22:18:45 | INFO     | analysis.inventory | Inventory: turnover=1.71x  DIO=213.7d
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:45 | INFO     | analysis.expenses | Expenses: OpEx%=8.23
2026-03-20 22:18:45 | INFO     | analysis.discounts | Discounts: 2.87% of gross revenue
2026-03-20 22:18:45 | INFO     | analysis.monthly_growth | Monthly growth computed.
2026-03-20 22:18:45 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:18:45 | INFO     | analysis.cashflow | Monthly cashflow: NetCashMovement=23,427,860
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | analysis.profitability | Profitability: NetProfit=5,573,644  GPM=18.75%
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | analysis.expenses | Expenses: OpEx%=8.23
2026-03-20 22:18:49 | INFO     | analysis.discounts | Discounts: 2.87% of gross revenue
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | analysis.inventory | Inventory: turnover=1.71x  DIO=213.7d
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:49 | INFO     | analysis.breakeven | Break-even: BEU=1,586  MoS=92.10%
2026-03-20 22:18:49 | INFO     | analysis.monthly_growth | Semiannual growth computed.
2026-03-20 22:18:49 | INFO     | analysis.cashflow | Semiannual cashflow: NetCashMovement=23,427,860
2026-03-20 22:18:49 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | analysis.profitability | Profitability: NetProfit=5,573,644  GPM=18.75%
2026-03-20 22:18:55 | INFO     | analysis.discounts | Discounts: 2.87% of gross revenue
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
